assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCF_009856525.1	PRJNA224116	SAMN13546316	na	reference genome	2686014	2686014	Neorickettsia findlayensis	strain=Fin17	na	latest	Complete Genome	Major	Full	2020-01-11	ASM985652v1	The Ohio State University	GCA_009856525.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/856/525/GCF_009856525.1_ASM985652v1	na	assembly from type material	na        	haploid	bacteria	864092	864092	40.5	1	1	1	NCBI RefSeq	GCF_009856525.1-RS_2024_06_17	2024-06-17	793	748	39	32098825;32317326
GCF_009800965.1	PRJNA224116	SAMN13555860	WUAF00000000.1	reference genome	2686016	2686016	Cognatazoarcus halotolerans	strain=HKLI-1	na	latest	Contig	Major	Full	2019-12-27	ASM980096v1	Institute of hydrology	GCA_009800965.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/800/965/GCF_009800965.1_ASM980096v1	na	assembly from type material	na        	haploid	bacteria	4968251	4968251	63.5	0	110	110	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-01-26	4585	4484	57	na
GCF_009831765.1	PRJNA224116	SAMN13558552	WSSB00000000.1	reference genome	2686017	2686017	Craterilacuibacter sinensis	strain=B2N2-7	na	latest	Scaffold	Major	Full	2020-01-06	ASM983176v1	Institute of Microbiology	GCA_009831765.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/831/765/GCF_009831765.1_ASM983176v1	na	assembly from type material	na        	haploid	bacteria	3218671	3218290	59.5	0	39	39	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-01-30	3161	3042	93	na
GCF_013403985.1	PRJNA224116	SAMN14839530	JABFDF000000000.1	reference genome	2686076	2686076	Winogradskyella ludwigii	strain=HL116	na	latest	Contig	Major	Full	2020-07-13	ASM1340398v1	Mediterranean Institute For Advanced Studies	GCA_013403985.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/403/985/GCF_013403985.1_ASM1340398v1	na	assembly from type material	na        	haploid	bacteria	4008075	4008075	32.5	0	29	29	NCBI RefSeq	GCF_013403985.1-RS_2024_10_23	2024-10-23	3480	3433	43	na
GCF_013394595.1	PRJNA224116	SAMN14839900	na	reference genome	2686077	2686077	Winogradskyella forsetii	strain=HL857	na	latest	Complete Genome	Major	Full	2020-07-08	ASM1339459v1	Mediterranean Institute For Advanced Studies	GCA_013394595.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/394/595/GCF_013394595.1_ASM1339459v1	na	assembly from type material	na        	haploid	bacteria	4512651	4512651	34.5	1	1	1	NCBI RefSeq	GCF_013394595.1-RS_2024_10_23	2024-10-23	3912	3843	48	na
GCF_013394655.1	PRJNA224116	SAMN14839903	na	reference genome	2686078	2686078	Winogradskyella schleiferi	strain=Z215	na	latest	Complete Genome	Major	Full	2020-07-08	ASM1339465v1	Mediterranean Institute For Advanced Studies	GCA_013394655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/394/655/GCF_013394655.1_ASM1339465v1	na	assembly from type material	na        	haploid	bacteria	4560973	4560973	34.5	1	1	1	NCBI RefSeq	GCF_013394655.1-RS_2024_10_23	2024-10-23	3968	3901	47	na
GCF_013403975.1	PRJNA224116	SAMN14839532	JABFDH000000000.1	reference genome	2686079	2686079	Winogradskyella ursingii	strain=HL4150	na	latest	Contig	Major	Full	2020-07-13	ASM1340397v1	Mediterranean Institute For Advanced Studies	GCA_013403975.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/403/975/GCF_013403975.1_ASM1340397v1	na	assembly from type material	na        	haploid	bacteria	3480135	3480135	35.0	0	21	21	NCBI RefSeq	GCF_013403975.1-RS_2024_10_23	2024-10-23	3162	3115	41	na
GCF_902726655.1	PRJNA224116	SAMEA6432163	CACVAN000000000.1	reference genome	2686091	2686091	Virgibacillus ihumii	strain=Marseille-Q1233	na	latest	Contig	Major	Full	2020-04-15	PRJEB35829	URMITE	GCA_902726655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/726/655/GCF_902726655.1_PRJEB35829	na	assembly from type material	na        	haploid	bacteria	3866282	3866282	41.0	0	2	2	NCBI RefSeq	GCF_902726655.1-RS_2024_05_05	2024-05-05	3872	3743	86	na
GCF_902726645.1	PRJNA224116	SAMEA6432164	CACVAO000000000.1	reference genome	2686092	2686092	Halobacillus ihumii	strain=Marseille-Q1234	na	latest	Contig	Major	Full	2020-02-10	Q1234	URMITE	GCA_902726645.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/726/645/GCF_902726645.1_Q1234	na	assembly from type material	na        	haploid	bacteria	4341559	4341559	41.0	0	4	4	NCBI RefSeq	GCF_902726645.1-RS_2024_03_28	2024-03-28	4412	4274	93	na
GCF_009792355.1	PRJNA224116	SAMN13567885	na	reference genome	2686094	2686094	Terricaulis silvestris	strain=0127_4	na	latest	Complete Genome	Major	Full	2019-12-23	ASM979235v1	Leibniz Institute DSMZ	GCA_009792355.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/792/355/GCF_009792355.1_ASM979235v1	na	assembly from type material	na        	haploid	bacteria	3864763	3864763	63.5	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-01-03	3957	3887	52	32762801
GCF_011387195.1	PRJNA224116	SAMN13545685	na	reference genome	2686210	2686210	Streptococcus ruminicola	strain=CNU_G2	na	latest	Complete Genome	Major	Full	2020-03-17	ASM1138719v1	Korea Research Institute of Bioscience & Biotechnology	GCA_011387195.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/387/195/GCF_011387195.1_ASM1138719v1	na	assembly from type material	na        	haploid	bacteria	2046950	2046950	37.5	2	2	2	NCBI RefSeq	GCF_011387195.1-RS_2024_03_29	2024-03-29	2057	1940	95	na
GCF_009796285.1	PRJNA224116	SAMN13560631	na	reference genome	2686304	2686304	Streptomyces broussonetiae	strain=T44	na	latest	Complete Genome	Major	Full	2019-12-24	ASM979628v1	Central South University of Forestry and Technology	GCA_009796285.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/796/285/GCF_009796285.1_ASM979628v1	na	assembly from type material	na        	haploid	bacteria	9735779	9735779	71.0	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-01-18	9014	8478	91	na
GCF_030845115.1	PRJNA224116	SAMN36961297	JAVCNR000000000.1	reference genome	2686357	2686357	Labilibaculum euxinus	strain=SYP	na	latest	Contig	Major	Full	2023-08-19	ASM3084511v1	Royal Netherlands Institute for Sea Research	GCA_030845115.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/845/115/GCF_030845115.1_ASM3084511v1	na	na	na        	haploid	bacteria	5035973	5035973	36.0	0	54	54	NCBI RefSeq	GCF_030845115.1-RS_2024_08_20	2024-08-20	3995	3912	74	na
GCF_902499555.1	PRJNA224116	SAMEA5787750	CABVMM000000000.1	reference genome	2687242	2687242	Mesonia oceanica	strain=ISS653	na	latest	Contig	Major	Full	2019-09-26	CECT 9532	UVEG	GCA_902499555.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/499/555/GCF_902499555.1_CECT_9532	na	assembly from type material	na        	haploid	bacteria	4275762	4275762	35.0	0	72	72	NCBI RefSeq	GCF_902499555.1-RS_2024_10_23	2024-10-23	3914	3811	50	na
GCF_018129085.1	PRJNA224116	SAMN13932463	JAAGBB000000000.1	reference genome	2687306	2687306	Plastoroseomonas hellenica	strain=LMG 31523	na	latest	Contig	Major	Full	2021-04-22	ASM1812908v1	UNIVERSITY OF GENT	GCA_018129085.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/129/085/GCF_018129085.1_ASM1812908v1	na	assembly from type material	na        	haploid	bacteria	7278581	7278581	69.5	0	161	161	NCBI RefSeq	GCF_018129085.1-RS_2024_07_22	2024-07-22	6949	6811	53	na
GCF_902713635.1	PRJNA224116	SAMEA6436544	CACTIU000000000.1	reference genome	2687307	2687307	Wolbachia endosymbiont of Cardiocondyla obscurior	strain=wCobs-BR2009-alpha	na	latest	Scaffold	Major	Full	2020-04-02	WoCaobscurior_wCobs-BR2009-alpha_v1.0	Centre de Biologie pour la Gestion des Populations (CBGP - UMR1062)	GCA_902713635.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/713/635/GCF_902713635.1_WoCaobscurior_wCobs-BR2009-alpha_v1.0	na	na	na        	haploid	bacteria	1194983	1194883	35.5	0	148	148	NCBI RefSeq	GCF_902713635.1-RS_2024_05_05	2024-05-05	1263	1166	41	na
GCF_011421635.1	PRJNA224116	SAMN13569955	WTLI00000000.1	reference genome	2689078	2689078	Paenibacillus turpanensis	strain=YIM B00363	na	latest	Contig	Major	Full	2020-03-18	ASM1142163v1	Yunnan institute of microbiology	GCA_011421635.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/421/635/GCF_011421635.1_ASM1142163v1	na	assembly from type material	na        	haploid	bacteria	4966221	4966221	50.5	0	78	78	NCBI RefSeq	GCF_011421635.1-RS_2024_04_19	2024-04-19	4602	4519	46	na
GCF_003730135.1	PRJNA224116	SAMN10351935	RJVO00000000.1	reference genome	2689987	2689987	Stagnimonas aquatica	strain=THS-13	na	latest	Contig	Major	Full	2018-11-14	ASM373013v1	National Kaohsiung University of Science and Technology	GCA_003730135.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/730/135/GCF_003730135.1_ASM373013v1	na	assembly from type material	na        	haploid	bacteria	3798671	3798671	67.5	0	15	15	NCBI RefSeq	GCF_003730135.1-RS_2024_07_15	2024-07-15	3438	3367	53	na
GCF_010091945.1	PRJNA224116	SAMN13620234	WVIE00000000.1	reference genome	2690445	2651157	Myxacorys almedinensis A	strain=A	na	latest	Scaffold	Major	Full	2020-01-31	ASM1009194v1	Centre for Functional Diversity	GCA_010091945.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/091/945/GCF_010091945.1_ASM1009194v1	na	na	na        	haploid	bacteria	4958574	4958335	49.5	0	85	85	NCBI RefSeq	GCF_010091945.1-RS_2024_03_27	2024-03-27	4578	4478	43	na
GCF_009834925.2	PRJNA224116	SAMN13618360	na	reference genome	2690837	2690837	Eggerthella guodeyinii	strain=HF-1101	na	latest	Complete Genome	Major	Full	2020-10-29	ASM983492v2	Chinese Center for Disease Control and Prevention	GCA_009834925.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/834/925/GCF_009834925.2_ASM983492v2	na	assembly from type material	na        	haploid	bacteria	4175177	4175177	66.0	1	1	1	NCBI RefSeq	GCF_009834925.2-RS_2024_04_27	2024-04-27	3568	3500	61	na
GCF_009831235.1	PRJNA224116	SAMN13632275	WUUL00000000.1	reference genome	2690964	2690964	Shimazuella alba	strain=KC615	na	latest	Contig	Major	Full	2020-01-06	ASM983123v1	Ondokuz Mayis University	GCA_009831235.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/831/235/GCF_009831235.1_ASM983123v1	na	assembly from type material	na        	haploid	bacteria	3989583	3989583	38.5	0	44	44	NCBI RefSeq	GCF_009831235.1-RS_2024_03_28	2024-03-28	4079	3896	55	na
GCF_031451795.1	PRJNA224116	SAMN34210210	JARWMY000000000.1	reference genome	2691040	2691040	Halomonas icarae	strain=JCM 33602	na	latest	Contig	Major	Full	2023-09-13	ASM3145179v1	University of Sevilla, Spain	GCA_031451795.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/031/451/795/GCF_031451795.1_ASM3145179v1	na	assembly from type material	na        	haploid	bacteria	3493325	3493325	64.0	0	48	48	NCBI RefSeq	GCF_031451795.1-RS_2024_09_15	2024-09-15	3254	3162	68	na
GCF_902809815.1	PRJNA224116	SAMEA6590544	CADDIL000000000.1	reference genome	2691041	2691041	Spiroplasma endosymbiont of Danaus chrysippus	na	RF.K001.SPIR	latest	Scaffold	Major	Full	2020-02-28	SPIRDC1	UNIVERSITY OF EDINBURGH	GCA_902809815.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/809/815/GCF_902809815.1_SPIRDC1	na	na	na        	haploid	bacteria	1745430	1744609	23.5	0	12	12	NCBI RefSeq	GCF_902809815.1-RS_2024_07_31	2024-07-31	1985	1906	35	na
GCF_009830125.1	PRJNA224116	SAMN13631569	WUPT00000000.1	reference genome	2691042	2691042	Kangsaoukella pontilimi	strain=GH1-50	na	latest	Contig	Major	Full	2020-01-04	ASM983012v1	BioPS Co., Ltd.	GCA_009830125.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/830/125/GCF_009830125.1_ASM983012v1	na	assembly from type material	na        	haploid	bacteria	3685850	3685850	64.0	0	10	10	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-11-22	3747	3680	49	na
GCF_009807035.1	PRJNA224116	SAMN13641159	WUBI00000000.1	reference genome	2691084	2691084	Paenibacillus dendrobii	strain=HJL G12	na	latest	Scaffold	Major	Full	2019-12-28	ASM980703v1	Chengdu institute of biology, Chinese academy of sciences	GCA_009807035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/807/035/GCF_009807035.1_ASM980703v1	na	assembly from type material	na        	haploid	bacteria	6632024	6631642	48.5	0	18	18	NCBI RefSeq	GCF_009807035.1-RS_2024_04_15	2024-04-15	5920	5751	129	na
GCF_009807005.1	PRJNA224116	SAMN13642240	WUBR00000000.1	reference genome	2691582	2691582	Aurantiacibacter rhizosphaerae	strain=GH3-10	na	latest	Contig	Major	Full	2019-12-28	ASM980700v1	BioPS Co., Ltd.	GCA_009807005.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/807/005/GCF_009807005.1_ASM980700v1	na	assembly from type material	na        	haploid	bacteria	3418029	3418029	61.5	0	6	6	NCBI RefSeq	GCF_009807005.1-RS_2024_03_16	2024-03-16	3291	3229	51	na
GCF_010131535.1	PRJNA224116	SAMN13642242	WUBS00000000.1	reference genome	2691583	2691583	Acerihabitans arboris	strain=SAP-6	na	latest	Scaffold	Major	Full	2020-02-04	ASM1013153v1	BioPS Co., Ltd.	GCA_010131535.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/131/535/GCF_010131535.1_ASM1013153v1	na	assembly from type material	na        	haploid	bacteria	5644927	5644641	57.0	0	56	56	NCBI RefSeq	GCF_010131535.1-RS_2024_09_29	2024-09-29	5219	4981	85	na
GCF_016806695.1	PRJNA224116	SAMN13671134	WUED00000000.1	reference genome	2691918	2691918	Campylobacter bilis	strain=VicNov18	na	latest	Contig	Major	Full	2021-02-03	ASM1680669v1	RMIT University	GCA_016806695.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/806/695/GCF_016806695.1_ASM1680669v1	na	assembly from type material	na        	haploid	bacteria	1447069	1447069	30.5	0	41	41	NCBI RefSeq	GCF_016806695.1-RS_2024_05_17	2024-05-17	1537	1393	49	na
GCF_009823805.1	PRJNA224116	SAMN13671869	WUEK00000000.1	reference genome	2691959	2691959	Nocardioides flavescens	strain=YIM 123512	na	latest	Scaffold	Major	Full	2019-12-31	ASM982380v1	Yunnan Institute of Microbiology	GCA_009823805.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/823/805/GCF_009823805.1_ASM982380v1	na	assembly from type material	na        	haploid	bacteria	4638605	4638379	72.5	0	26	26	NCBI RefSeq	GCF_009823805.1-RS_2024_08_07	2024-08-07	4446	4369	52	na
GCF_014763015.1	PRJNA224116	SAMN15856876	JACRUO000000000.1	reference genome	2692125	2692125	Nanchangia anserum	strain=C62	na	latest	Contig	Major	Full	2020-09-25	ASM1476301v1	China CDC	GCA_014763015.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/763/015/GCF_014763015.1_ASM1476301v1	na	na	na        	haploid	bacteria	1896687	1896687	66.0	0	4	4	NCBI RefSeq	GCF_014763015.1-RS_2024_03_29	2024-03-29	1722	1656	59	na
GCF_011604685.1	PRJNA224116	SAMN14299271	na	reference genome	2692134	2692134	Spirosoma aureum	strain=BT328	na	latest	Complete Genome	Major	Full	2020-03-22	ASM1160468v1	Seoul Women's University	GCA_011604685.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/604/685/GCF_011604685.1_ASM1160468v1	na	assembly from type material	na        	haploid	bacteria	8898242	8898242	47.5	1	1	1	NCBI RefSeq	GCF_011604685.1-RS_2024_10_23	2024-10-23	7180	7070	59	na
GCF_009857655.1	PRJNA224116	SAMN13678846	WWCX00000000.1	reference genome	2692166	2692166	Duganella vulcania	strain=FT81W	na	latest	Scaffold	Major	Full	2020-01-12	ASM985765v1	Guangdong Institute of Microbiology	GCA_009857655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/857/655/GCF_009857655.1_ASM985765v1	na	assembly from type material	na        	haploid	bacteria	7675978	7675882	64.0	0	342	342	NCBI RefSeq	GCF_009857655.1-RS_2024_08_26	2024-08-26	7296	7022	114	na
GCF_009857605.1	PRJNA224116	SAMN13678850	WWCT00000000.1	reference genome	2692169	2692169	Duganella levis	strain=CY42W	na	latest	Contig	Major	Full	2020-01-12	ASM985760v1	Guangdong Institute of Microbiology	GCA_009857605.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/857/605/GCF_009857605.1_ASM985760v1	na	assembly from type material	na        	haploid	bacteria	6742924	6742924	62.5	0	104	104	NCBI RefSeq	GCF_009857605.1-RS_2024_08_26	2024-08-26	6231	6059	115	na
GCF_009857535.1	PRJNA224116	SAMN13678851	WWCS00000000.1	reference genome	2692170	2692170	Duganella margarita	strain=FT109W	na	latest	Contig	Major	Full	2020-01-12	ASM985753v1	Guangdong Institute of Microbiology	GCA_009857535.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/857/535/GCF_009857535.1_ASM985753v1	na	assembly from type material	na        	haploid	bacteria	6431183	6431183	63.0	0	118	118	NCBI RefSeq	GCF_009857535.1-RS_2024_08_26	2024-08-26	5927	5738	125	na
GCF_009857505.1	PRJNA224116	SAMN13678854	WWCP00000000.1	reference genome	2692173	2692173	Duganella lactea	strain=FT50W	na	latest	Contig	Major	Full	2020-01-12	ASM985750v1	Guangdong Institute of Microbiology	GCA_009857505.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/857/505/GCF_009857505.1_ASM985750v1	na	assembly from type material	na        	haploid	bacteria	5925223	5925223	63.5	0	147	147	NCBI RefSeq	GCF_009857505.1-RS_2024_08_26	2024-08-26	5467	5274	118	na
GCF_009857445.1	PRJNA224116	SAMN13678856	WWCN00000000.1	reference genome	2692175	2692175	Duganella flavida	strain=FT135W	na	latest	Scaffold	Major	Full	2020-01-12	ASM985744v1	Guangdong Institute of Microbiology	GCA_009857445.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/857/445/GCF_009857445.1_ASM985744v1	na	assembly from type material	na        	haploid	bacteria	6429780	6429686	61.0	0	91	91	NCBI RefSeq	GCF_009857445.1-RS_2024_08_26	2024-08-26	5913	5719	124	na
GCF_009857915.1	PRJNA224116	SAMN13678857	WWCM00000000.1	reference genome	2692176	2692176	Duganella qianjiadongensis	strain=CY13W	na	latest	Contig	Major	Full	2020-01-12	ASM985791v1	Guangdong Institute of Microbiology	GCA_009857915.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/857/915/GCF_009857915.1_ASM985791v1	na	assembly from type material	na        	haploid	bacteria	5307629	5307629	60.5	0	122	122	NCBI RefSeq	GCF_009857915.1-RS_2024_08_26	2024-08-26	4739	4564	121	na
GCF_009857835.1	PRJNA224116	SAMN13678858	WWCL00000000.1	reference genome	2692177	2692177	Duganella fentianensis	strain=FT93W	na	latest	Scaffold	Major	Full	2020-01-12	ASM985783v1	Guangdong Institute of Microbiology	GCA_009857835.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/857/835/GCF_009857835.1_ASM985783v1	na	assembly from type material	na        	haploid	bacteria	5095510	5095416	61.0	0	42	42	NCBI RefSeq	GCF_009857835.1-RS_2024_08_26	2024-08-26	4530	4383	111	na
GCF_009857475.1	PRJNA224116	SAMN13678860	WWCJ00000000.1	reference genome	2692179	2692179	Pseudoduganella guangdongensis	strain=DS3	na	latest	Contig	Major	Full	2020-01-12	ASM985747v1	Guangdong Institute of Microbiology	GCA_009857475.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/857/475/GCF_009857475.1_ASM985747v1	na	assembly from type material	na        	haploid	bacteria	5722793	5722793	64.0	0	96	96	NCBI RefSeq	GCF_009857475.1-RS_2024_08_26	2024-08-26	5436	5283	114	na
GCF_009827095.1	PRJNA224116	SAMN13680427	WUMU00000000.1	reference genome	2692189	2692189	Pseudooceanicola albus	strain=BGMRC 2024	na	latest	Contig	Major	Full	2020-01-01	ASM982709v1	Guangxi University of Chinese Medicine	GCA_009827095.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/827/095/GCF_009827095.1_ASM982709v1	na	assembly from type material	na        	haploid	bacteria	5508818	5508818	67.5	0	85	85	NCBI RefSeq	GCF_009827095.1-RS_2024_09_23	2024-09-23	5220	5108	61	na
GCF_009826895.1	PRJNA224116	SAMN13680429	WUMV00000000.1	reference genome	2692190	2692190	Stappia sediminis	strain=BGMRC 2046	na	latest	Contig	Major	Full	2020-01-01	ASM982689v1	Guangxi University of Chinese Medicine	GCA_009826895.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/826/895/GCF_009826895.1_ASM982689v1	na	na	na        	haploid	bacteria	4786437	4786437	61.0	0	22	22	NCBI RefSeq	GCF_009826895.1-RS_2024_09_29	2024-09-29	4357	4260	59	na
GCF_011074955.1	PRJNA224116	SAMN13677112	WUQJ00000000.1	reference genome	2692195	2692195	Marinobacter caseinilyticus	strain=M3-13	na	latest	Scaffold	Major	Full	2020-03-09	ASM1107495v1	Zhejiang University	GCA_011074955.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/074/955/GCF_011074955.1_ASM1107495v1	na	assembly from type material	na        	haploid	bacteria	4312424	4312296	56.5	0	37	37	NCBI RefSeq	GCF_011074955.1-RS_2024_05_13	2024-05-13	3899	3793	76	na
GCF_009857745.1	PRJNA224116	SAMN13680024	WWEN00000000.1	reference genome	2692236	2692236	Thalassovita mangrovi	strain=GS-10	na	latest	Contig	Major	Full	2020-01-12	ASM985774v1	School of Life Sciences	GCA_009857745.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/857/745/GCF_009857745.1_ASM985774v1	na	assembly from type material	na        	haploid	bacteria	4156728	4156728	64.0	0	36	36	NCBI RefSeq	GCF_009857745.1-RS_2024_08_20	2024-08-20	4026	3964	51	na
GCF_009910725.1	PRJNA224116	SAMN13683806	JAAAXI000000000.1	reference genome	2692265	2692265	Microvirga arsenatis	strain=SYSU G3D207	na	latest	Contig	Major	Full	2020-01-21	ASM991072v1	Sun Yat-sen University, SYSU	GCA_009910725.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/910/725/GCF_009910725.1_ASM991072v1	na	na	na        	haploid	bacteria	5053091	5053091	65.0	0	81	81	NCBI RefSeq	GCF_009910725.1-RS_2024_05_05	2024-05-05	4854	4705	60	na
GCF_013087625.1	PRJNA224116	SAMN14341976	JABFCQ000000000.1	reference genome	2692317	2692317	Rhizobium changzhiense	strain=WYCCWR 11279	na	latest	Scaffold	Major	Full	2020-05-14	ASM1308762v1	WFCC-MRCEN World Data Centre for Microoganisms(WDCM)	GCA_013087625.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/087/625/GCF_013087625.1_ASM1308762v1	na	assembly from type material	na        	haploid	bacteria	6590079	6589984	61.0	0	19	19	NCBI RefSeq	GCF_013087625.1-RS_2024_04_27	2024-04-27	6386	6180	54	na
GCF_010614725.1	PRJNA224116	SAMN13902114	JAAEHL000000000.1	reference genome	2692318	2692318	Flavobacterium ajazii	strain=SSM4.2	na	latest	Contig	Major	Full	2020-02-14	ASM1061472v1	Zhejiang University	GCA_010614725.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/614/725/GCF_010614725.1_ASM1061472v1	na	assembly from type material	na        	haploid	bacteria	5754623	5754623	34.0	0	33	33	NCBI RefSeq	GCF_010614725.1-RS_2024_10_23	2024-10-23	4764	4673	69	na
GCF_018279165.1	PRJNA224116	SAMN13683955	na	reference genome	2692330	2692330	Falsirhodobacter algicola	strain=PG104	na	latest	Complete Genome	Major	Full	2021-05-05	ASM1827916v1	National Marine Biodiversity Institute of Korea	GCA_018279165.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/279/165/GCF_018279165.1_ASM1827916v1	na	assembly from type material	na        	haploid	bacteria	2779574	2779574	66.5	6	6	6	NCBI RefSeq	GCF_018279165.1-RS_2024_10_11	2024-10-11	2750	2657	63	na
GCF_009909615.1	PRJNA224116	SAMN13563978	WWNE00000000.1	reference genome	2692424	2692424	Acidiluteibacter ferrifornacis	strain=S-15	na	latest	Scaffold	Major	Full	2020-01-21	ASM990961v1	Xiamen University	GCA_009909615.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/909/615/GCF_009909615.1_ASM990961v1	na	assembly from type material	na        	haploid	bacteria	3517574	3514195	35.5	0	23	23	NCBI RefSeq	GCF_009909615.1-RS_2024_10_23	2024-10-23	3064	3007	42	na
GCF_009848505.1	PRJNA224116	SAMN13696933	WWDL00000000.1	reference genome	2692566	2692566	Roseomonas harenae	strain=CPCC 101081	na	latest	Scaffold	Major	Full	2020-01-10	ASM984850v1	Institute of Medicinal Biotechnology Chinese Academy of Medical Sciences	GCA_009848505.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/848/505/GCF_009848505.1_ASM984850v1	na	assembly from type material	na        	haploid	bacteria	5303199	5302933	68.5	0	126	126	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-01-30	5072	4891	65	na
GCF_009847015.1	PRJNA224116	SAMN13694208	WVEM00000000.1	reference genome	2692584	2692584	Sunxiuqinia indica	strain=RC1_OXG_1F	na	latest	Scaffold	Major	Full	2020-01-10	ASM984701v1	Key Laboratory of Marine Biogenetic Resources State of Oceanic Administration	GCA_009847015.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/847/015/GCF_009847015.1_ASM984701v1	na	assembly from type material	na        	haploid	bacteria	5250885	5250399	40.5	0	39	39	NCBI RefSeq	GCF_009847015.1-RS_2024_10_23	2024-10-23	4371	4295	54	na
