Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	ANI Check status	Organism Infraspecific Names Breed	Annotation Name	Assembly Stats Total Sequence Length	Assembly Stats Total Number of Chromosomes	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Stats Number of Scaffolds	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Type Material Display Text	CheckM marker set	CheckM completeness	CheckM contamination	superkingdom	kingdom	phylum	class	order	family	genus	species	domain
GCF_002802985.1	B12	Geodermatophilus chilensis	2035835	OK		GCF_002802985.1-RS_2024_12_13	5511499		Contig	2017-11-30	NVPT01	28240			Illumina MiSeq	Northumbria University	PRJNA406867	SAMN07633136	5530	5295	178.0	assembly from type material	Geodermatophilaceae	96.84	5.56	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Geodermatophilales	Geodermatophilaceae	Geodermatophilus		
GCF_005889715.1	ASM588971v1	Actinomadura soli	2508997	OK		GCF_005889715.1-RS_2024_12_11	9041065		Contig	2019-05-29	VCKW01	28188			Illumina HiSeq	Ondokuz Mayis Univesity	PRJNA516588	SAMN10791674	8595	8264	249.0	assembly from type material	Actinomadura	93.75	8.77	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Streptosporangiales	Thermomonosporaceae	Actinomadura		
GCF_001311845.1	ASM131184v1	Desulfosarcina cetonica JCM 12296	1294021	OK		GCF_001311845.1-RS_2024_04_07	7092334		Contig	2015-10-02	BBCC01	28138			Ion PGM	The University of Tokyo	PRJDB811	SAMD00000427	7919	7404	456.0	assembly from type material	Desulfobacterales	87.17	7.22	Bacteria	Pseudomonadati	Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Desulfosarcina	Desulfosarcina cetonica	
GCF_039528135.1	ASM3952813v1	Kitasatospora nipponensis	258049	OK		GCF_039528135.1-RS_2024_05_10	9596587		Scaffold	2024-02-23	BAAALF01	27959	35521.0	1244.0	MGISEQ-2000	WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	PRJDB10510	SAMD00645161	9175	8419	686.0	assembly from type material	Streptomycetaceae	97.86	2.53	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Kitasatospora		
GCF_001552555.1	ASM155255v1	Nocardiopsis trehalosi NBRC 14201	1348638	Inconclusive		GCF_001552555.1-RS_2024_10_22	6379550		Contig	2016-02-06	BCRK01	27850			Illumina HiSeq 1000	National Institute of Technology and Evaluation	PRJDB1329	SAMD00046510	5709	5551	97.0	assembly from type material	Nocardiopsis	93.12	6.67	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Streptosporangiales	Nocardiopsidaceae	Nocardiopsis	Nocardiopsis trehalosi	
GCF_019396355.1	ASM1939635v1	Pseudonocardia nigra	1921578	OK		GCF_019396355.1-RS_2024_08_29	8494240		Scaffold	2021-07-29	JAHKRK01	27829	28177.0	601.0	Illumina NovaSeq	Chengdu University	PRJNA733291	SAMN19373109	8688	8123	506.0	assembly from type material	Pseudonocardia	93.31	7.35	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia		
GCF_026013475.1	ASM2601347v1	Micromonospora yasonensis	1128667	OK		GCF_026013475.1-RS_2024_11_26	7712081		Contig	2022-11-05	JAPDPH01	27745			Illumina iSeq	Chulalonkorn University	PRJNA894805	SAMN31474608	7369	7015	291.0	assembly from type material	Micromonospora	93.85	11.4	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora		
GCF_003346515.1	ASM334651v1	Streptomyces corynorhini	2282652	OK		GCF_003346515.1-RS_2024_12_09	7735729		Scaffold	2018-07-30	QQNA01	27620	28347.0	480.0	Illumina MiSeq	NCAUR-ARS-USDA	PRJNA481970	SAMN09709326	6845	6512	261.0	assembly from type material	Streptomyces	95.39	0.57	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces		
GCF_001039595.1	ASM103959v1	Bizionia psychrotolerans	1492901	OK		GCF_001039595.1-RS_2024_10_22	500897		Contig	2015-06-25	JNGS01	27528			IonTorrent	Korea Food Research Institute	PRJNA251503	SAMN02834819	493	452	34.0	assembly from type material	Flavobacteriaceae	12.46		Bacteria	Pseudomonadati	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Bizionia		
GCF_003470205.1	ASM347020v1	Cellulomonas rhizosphaerae	2293719	OK		GCF_003470205.1-RS_2024_12_09	3657983		Contig	2018-09-06	QWKP01	27510			Illumina HiSeq	School of life science	PRJNA484601	SAMN09767214	3592	3458	83.0	assembly from type material	Cellulomonas	97.85	3.54	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micrococcales	Cellulomonadaceae	Cellulomonas		
GCF_001816125.1	ASM181612v1	Hymenobacter coccineus	1908235	OK		GCF_001816125.1-RS_2024_08_04	5700921		Contig	2016-10-21	MDZA01	27453			IonTorrent	Masaryk University	PRJNA335956	SAMN05447638	5377	5087	236.0	assembly from type material	Hymenobacter	84.46	4.69	Bacteria	Pseudomonadati	Bacteroidota	Cytophagia	Cytophagales	Hymenobacteraceae	Hymenobacter		
GCF_002786325.1	157.Hcov.spades_scaffolds_517	Pseudooceanicola lipolyticus	2029104	Inconclusive		GCF_002786325.1-RS_2024_08_20	5235224		Scaffold	2017-11-17	PGTB01	27342	27342.0	442.0	Illumina HiseqX-Ten PE150	Second Institute of Oceanography, State Oceanic Administration	PRJNA398618	SAMN07514659	5301	5043	211.0	assembly from type material	Rhodobacteraceae	96.63	0.59	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Pseudooceanicola		
GCF_900197875.1	FRACA_ARgP5	Frankia canadensis	1836972	OK		GCF_900197875.1-RS_2024_04_15	7673585		Contig	2018-01-02	FZMO01	27216				Universite Lyon1	PRJEB21544	SAMEA104149503	6665	6353	257.0	assembly from type material	Frankia	98.45	1.61	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Frankiales	Frankiaceae	Frankia		
GCF_002154505.1	ASM215450v1	Streptomyces carpinensis	66369	OK		GCF_002154505.1-RS_2024_04_22	10405645		Scaffold	2017-05-22	MUBM01	27185	27358.0	824.0	Illumina MiSeq	USDA/ARS/NCAUR	PRJNA293375	SAMN06277327	9895	9085	732.0	assembly from type material	Streptomyces	98.9	3.88	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces		
GCF_003236395.1	ASM323639v1	Nonomuraea aridisoli	2070368	OK		GCF_003236395.1-RS_2024_08_05	9868672		Contig	2018-06-18	POUD01	27064			Illumina HiSeq	Ondokuz Mayis University	PRJNA429095	SAMN08329201	9885	9497	304.0	assembly from type material	Streptosporangiaceae	88.33	11.5	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	Nonomuraea		
GCF_009904105.1	BeanPod	Elizabethkingia argenteiflava	2681556	OK		GCF_009904105.1-RS_2024_10_23	2702182		Contig	2020-01-18	JAAABJ01	26988			Illumina MiSeq; NovaSeq PE150	Dankook Univ.	PRJNA592412	SAMN13425634	2689	2368	267.0	assembly from type material	Elizabethkingia	65.41	2.49	Bacteria	Pseudomonadati	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Elizabethkingia		
GCF_001748305.1	ASM174830v1	Streptomyces luteocolor	285500	Inconclusive		GCF_001748305.1-RS_2024_08_12	9298666		Scaffold	2016-08-22	BDGW01	26979	56991.0	262.0	MiSeq desktop sequencer	National Institute of Infectious Diseases	PRJDB3578	SAMD00027180	8303	7983	251.0	assembly from type material	Streptomyces	99.43	2.46	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces		
GCF_014490445.1	ASM1449044v1	Pseudoroseomonas ludipueritiae	198093	OK		GCF_014490445.1-RS_2024_12_16	5350080		Scaffold	2020-09-07	JACTUZ01	26901	27360.0	394.0	Illumina	Chinese Center for Disease Control and Prevention	PRJNA660956	SAMN15965249	5307	5091	164.0	assembly from type material	Acetobacteraceae	98.48	1.77	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Pseudoroseomonas		
GCF_012910885.1	ASM1291088v1	Azoarcus taiwanensis	666964	Inconclusive		GCF_012910885.1-RS_2024_05_05	4215846		Contig	2020-04-27	WTVM01	26885			Illumina HiSeq	The James Hutton Institute	PRJNA594497	SAMN13519749	4128	3968	107.0	assembly from type material	Azoarcus	73.91	14.29	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Azoarcus		
GCF_039521845.1	ASM3952184v1	Alkalibacterium iburiense	290589	OK		GCF_039521845.1-RS_2024_05_10	2663995		Scaffold	2024-02-23	BAAACW01	26868	31835.0	183.0	MGISEQ-2000	WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	PRJDB10510	SAMD00644944	2576	2438	62.0	assembly from type material	Carnobacteriaceae	97.67	2.2	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	Alkalibacterium		
GCF_004348455.1	ASM434845v1	Kribbella albertanoniae	1266829	OK		GCF_004348455.1-RS_2024_03_28	9727339		Contig	2019-03-13	SMKA01	26656			Illumina HiSeq	Ondokuz Mayis University	PRJNA524765	SAMN11032584	9086	8934	82.0	assembly from type material	Actinobacteria	99.93	3.78	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Propionibacteriales	Kribbellaceae	Kribbella		
GCF_009602535.1	ASM960253v1	Ornithinicoccus halotolerans	1748220	Inconclusive		GCF_009602535.1-RS_2024_12_09	3324162		Contig	2019-11-06	WIQI01	26450			Illumina HiSeq	Nanjing Agricultural University	PRJNA579871	SAMN13135515	3299	3155	91.0	assembly from type material	Intrasporangiaceae	95.09	2.8	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micrococcales	Intrasporangiaceae	Ornithinicoccus		
GCF_003611735.1	ASM361173v1	Corallococcus sicarius	2316726	OK		GCF_003611735.1-RS_2024_08_07	10393104		Contig	2018-10-04	RAWG01	26404			Illumina HiSeq	Aberystwyth University	PRJNA490141	SAMN10026040	8430	8095	272.0	assembly from type material	Myxococcaceae	97.92	2.98	Bacteria	Pseudomonadati	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Corallococcus		
GCF_009696075.1	ASM969607v1	Holdemanella porci	2652276	OK		GCF_009696075.1-RS_2024_12_09	2070150		Contig	2019-11-22	VUMR01	26381			Illumina MiSeq	UniKlinik RWTH Aachen	PRJNA561470	SAMN12619143	2183	2056	60.0	assembly from type material	Erysipelotrichaceae	96.92	0.1	Bacteria	Bacillati	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemanella		
GCF_018139695.1	ASM1813969v1	Actinospica durhamensis	1508375	OK		GCF_018139695.1-RS_2024_08_02	9624076		Contig	2021-04-25	JAGSOG01	26256			Illumina MiSeq	Indonesia Endowment Fund for Education (LPDP)	PRJNA610628	SAMN18753151	8582	8139	363.0	assembly from type material	Actinobacteria	99.16	4.62	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Catenulisporales	Actinospicaceae	Actinospica		
GCF_900100125.1	IMG-taxon 2622736585 annotated assembly	Dolosicoccus paucivorans	84521	OK		GCF_900100125.1-RS_2024_12_09	1759599		Contig	2016-10-21	FNEL01	26253				DOE - JOINT GENOME INSTITUTE	PRJEB15977	SAMN04487994	1799	1698	58.0	assembly from type material	Aerococcaceae	96.36	0.17	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Dolosicoccus		
GCF_026191655.1	ASM2619165v1	Vibrio paucivorans	2829489	OK		GCF_026191655.1-RS_2024_10_11	5035848		Contig	2022-11-15	JAKRRX01	26243			Illumina	ocean university of china	PRJNA805051	SAMN25824116	4760	4534	162.0	assembly from type material	Vibrio	98.06	1.44	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio		
GCF_009711465.1	ASM971146v1	Sansalvadorimonas verongulae	2172824	OK		GCF_009711465.1-RS_2024_12_11	4841513		Scaffold	2019-11-27	SMME01	26183	31266.0	873.0	Illumina MiniSeq	UPEI	PRJNA523378	SAMN10974928	4763	4608	78.0	assembly from type material	Hahellaceae	82.62	5.72	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Hahellaceae	Sansalvadorimonas		
GCF_000513715.1	saliniS351.0	Salinivibrio socompensis S35	1308978	OK		GCF_000513715.1-RS_2024_03_28	3406510		Contig	2014-01-07	AQOD01	25979			IonTorrent	Universidade Federal do Rio de Janeiro	PRJNA194040	SAMN02597455	3570	2644	831.0	assembly from type material	Vibrionaceae	65.56	0.84	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Salinivibrio	Salinivibrio socompensis	
GCF_004349235.1	ASM434923v1	Actinomadura darangshiensis	705336	OK		GCF_004349235.1-RS_2024_04_19	9886063		Contig	2019-03-13	SMKY01	25974			Illumina HiSeq	Ondokuz Mayis University	PRJNA524765	SAMN11032560	9555	9257	212.0	assembly from type material	Actinomadura	95.13	9.19	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Streptosporangiales	Thermomonosporaceae	Actinomadura		
GCF_008369065.1	ASM836906v1	Streptomyces apricus	1828112	OK		GCF_008369065.1-RS_2024_12_16	8852793		Scaffold	2019-09-10	VDFC01	25886	296590.0	309.0	Illumina MiSeq	Cornell University	PRJNA496211	SAMN11840809	7987	7486	415.0	assembly from type material	Streptomyces	96.91	0.92	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces		
GCF_003696235.1	ASM369623v1	Streptomyces triticirhizae	2483353	OK		GCF_003696235.1-RS_2024_12_09	6563286		Scaffold	2018-10-29	RFFJ01	25828	25828.0	428.0	Illumina HiSeq	School of life science	PRJNA498151	SAMN10284813	6018	5664	286.0	assembly from type material	Streptomyces	94.51	0.81	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces		
GCF_024505165.1	ASM2450516v1	Methylomonas rivi	2952226	OK		GCF_024505165.1-RS_2024_08_27	4523345		Contig	2022-08-01	JANIBK01	25821			Illumina MiSeq	University of Oklahoma	PRJNA847547	SAMN28978087	4377	4245	83.0	assembly from type material	Methylomonas	96.45	4.48	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas		
GCF_042678885.1	ASM4267888v1	Saccharothrix hoggarensis	913853	OK		GCF_042678885.1-RS_2024_10_07	7623907		Scaffold	2024-10-06	JBHTLK01	25404	25650.0	545.0	Illumina	Institution of Microbiology, Chinese Academy of Science(WDCM)	PRJNA595761	SAMN43284343	7408	7066	286.0	assembly from type material	Pseudonocardiaceae	99.38	0.66	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Saccharothrix		
GCF_036327435.1	ASM3632743v1	Rhodococcus chondri	3065941	OK		GCF_036327435.1-RS_2024_12_11	5341903		Contig	2024-02-01	JAUZMZ01	25295			Illumina	CIIMAR - Interdisciplinary Centre of Marine and Environmental Research	PRJNA999295	SAMN36781230	5289	4954	275.0	assembly from type material	Rhodococcus	93.84	0.68	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Rhodococcus		
GCF_000312005.1	ASM31200v1	Cellulomonas massiliensis JC225	1095767	OK		GCF_000312005.1-RS_2024_08_21	3410512		Scaffold	2012-08-16	CAHD01	25169	3395152.0	7.0		URMITE CNRS UMR 6236 IRD 198	PRJEA82281	SAMEA2272357	3208	3081	76.0	assembly from type material	Cellulomonas	97.1	0.41	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas massiliensis	
GCF_002940065.1	ASM294006v1	Xanthomonas populi	53414	OK		GCF_002940065.1-RS_2024_05_05	4338173		Scaffold	2018-02-23	MDEJ01	25166	27124.0	407.0	Illumina HiSeq	INRA	PRJNA338640	SAMN05560300	4281	3350	788.0	assembly from type material	Xanthomonas	94.26	0.69	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Xanthomonas		
GCF_009711445.1	ASM971144v1	Curvivirga aplysinae	2529852	OK		GCF_009711445.1-RS_2024_12_11	3561564		Scaffold	2019-11-27	SMMC01	24710	27902.0	216.0	Illumina MiniSeq	UPEI	PRJNA523378	SAMN10974930	3437	3373	18.0	assembly from type material	Rhodospirillales	98.24	0.88	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Kiloniellaceae	Curvivirga		
GCF_000240225.1	ASM24022v2	Patulibacter medicamentivorans	1097667	OK		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5092500		Contig	2011-12-28	AGUD01	24679			Illumina GA IIx	Aalborg University	PRJNA74503	SAMN02391504	4758	4667	40.0	assembly from type material	Patulibacter	80.08	9.93	Bacteria	Bacillati	Actinomycetota	Thermoleophilia	Solirubrobacterales	Patulibacteraceae	Patulibacter		
GCF_003721215.1	ASM372121v1	Streptomyces botrytidirepellens	2486417	OK		GCF_003721215.1-RS_2024_05_04	11008137		Scaffold	2018-11-11	RIBZ01	24675	24675.0	886.0	Illumina HiSeq	School of life science	PRJNA503497	SAMN10363460	9973	9242	656.0	assembly from type material	Streptomyces	98.47	0.88	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces		
GCF_003611635.1	ASM361163v1	Corallococcus terminator	2316733	OK		GCF_003611635.1-RS_2024_08_28	10351705		Contig	2018-10-04	RAVZ01	24469			Illumina HiSeq	Aberystwyth University	PRJNA490141	SAMN10026047	8519	8215	243.0	assembly from type material	Myxococcaceae	99.28	1.98	Bacteria	Pseudomonadati	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Corallococcus		
GCF_001998965.1	ASM199896v1	Rodentibacter rarus	1908260	OK		GCF_001998965.1-RS_2024_04_22	2445671		Contig	2017-02-15	MLHJ01	24338			Illumina HiSeq	University of Copenhagen	PRJNA343597	SAMN05892255	2458	2303	97.0	assembly from type material	Pasteurellaceae	99.2	0.23	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Rodentibacter		
GCF_004349215.1	ASM434921v1	Actinomadura rubrisoli	2530368	OK		GCF_004349215.1-RS_2024_04_19	10227186		Contig	2019-03-13	SMKU01	24093			Illumina HiSeq	Ondokuz Mayis University	PRJNA524765	SAMN11032564	9664	9305	270.0	assembly from type material	Actinomadura	94.5	11.76	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Streptosporangiales	Thermomonosporaceae	Actinomadura		
GCF_039522005.1	ASM3952200v1	Alkalibacterium indicireducens	398758	OK		GCF_039522005.1-RS_2024_05_16	2449468		Scaffold	2024-02-23	BAAADA01	24083	26289.0	231.0	MGISEQ-2000	WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	PRJDB10510	SAMD00644948	2419	2278	65.0	assembly from type material	Carnobacteriaceae	98.39	4.32	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	Alkalibacterium		
GCF_007992055.1	ASM799205v1	Companilactobacillus mindensis	167481	OK		GCF_007992055.1-RS_2024_08_26	2285531		Contig	2019-07-31	BJZN01	24067			Illumina HiSeq 1000	National Institute of Technology and Evaluation Biological Resource Center	PRJDB6287	SAMD00172649	2247	2144	50.0	assembly from type material	Lactobacillaceae	99.11	2.81	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Companilactobacillus		
GCF_004335995.1	5H	Mycoplasma todarodis	1937191	OK		GCF_004335995.1-RS_2025_03_07	1007879		Contig	2019-03-08	PSZP01	24059			Illumina HiSeq	IMEDEA	PRJNA432939	SAMN08466821	954	888	36.0	assembly from type material	Mycoplasma	91.3	2.76	Bacteria	Bacillati	Mycoplasmatota	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma		
GCF_001418325.1	ASM141832v1	Streptomyces atriruber	545121	OK		GCF_001418325.1-RS_2024_04_21	8892875		Scaffold	2015-10-28	LIPN01	23936	24134.0	703.0	Illumina MiSeq	USDA/ARS/NCAUR	PRJNA293375	SAMN04002960	8297	7834	390.0	assembly from type material	Streptomyces	98.46	0.82	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces		
GCF_014306095.1	ASM1430609v1	Lentihominibacter faecis	2764712	OK		GCF_014306095.1-RS_2025_03_02	2097162		Contig	2020-08-26	JACRWC01	23786			BGISEQ	WFCC-MRCEN World Data Centre for Microoganisms(WDCM)	PRJNA656402	SAMN15805282	2042	1941	53.0	assembly from type material	Clostridiales	94.53	2.05	Bacteria	Bacillati	Bacillota	Clostridia	Peptostreptococcales	Anaerovoracaceae	Lentihominibacter		
GCF_000946815.1	Syntrophaceticus schinkii	Syntrophaceticus schinkii	499207	OK		GCF_000946815.1-RS_2024_12_13	3166921		Contig	2015-02-07	CDRZ01	23609				SLU-GBC	PRJEB5769	SAMEA3215174	3448	3087	291.0	assembly from type material	Thermoanaerobacterales Family III. Incertae Sedis	74.72	6.54	Bacteria	Bacillati	Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Syntrophaceticus		
GCF_016803395.1	ASM1680339v1	Micromonospora tarensis	2806100	OK		GCF_016803395.1-RS_2024_12_16	7396674		Contig	2021-02-02	JAEVHL01	23597			IonTorrent	Kingston University London, United Kingdom	PRJNA694558	SAMN17527556	7405	6433	913.0	assembly from type material	Micromonospora	83.92	4.69	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora		
GCF_003236315.1	ASM323631v1	Micromonospora craterilacus	1655439	OK		GCF_003236315.1-RS_2024_08_05	7306627		Contig	2018-06-18	POTY01	23584			Illumina HiSeq	Ondokuz Mayis University	PRJNA429086	SAMN08329149	6928	6570	261.0	assembly from type material	Micromonospora	92.01	6.93	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora		
GCF_020024005.1	ASM2002400v1	Streptomyces purpurogeneiscleroticus	68259	OK		GCF_020024005.1-RS_2024_08_29	7743394		Scaffold	2021-09-17	NHSG01	23534	23973.0	494.0	Illumina MiSeq	GEOMAR Helmholtz Centre for Ocean Research Kiel	PRJNA387386	SAMN07156355	7058	6792	191.0	assembly from type material	Streptomyces	98.8	2.9	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces		
GCF_002251835.1	ASM225183v1	Flavobacterium cyanobacteriorum	2022802	OK		GCF_002251835.1-RS_2024_10_22	3238290		Scaffold	2017-08-14	NOXV01	23498	24231.0	306.0	Illumina HiSeq	Nanjing Institute of Geography and Limnology	PRJNA395959	SAMN07418557	3093	3000	54.0	assembly from type material	Flavobacterium	98.18	0.8	Bacteria	Pseudomonadati	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		
GCF_000981895.1	ASM98189v1	Streptomyces odonnellii	1417980	OK		GCF_000981895.1-RS_2024_12_13	8280224		Contig	2015-04-29	LATD01	23420			Illumina MiSeq	USDA/ARS/NCAUR	PRJNA279266	SAMN03444664	7394	6943	370.0	assembly from type material	Streptomyces	98.74	0.51	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces		
GCF_003574085.1	ASM357408v1	Meiothermus luteus	2026184	Inconclusive		GCF_003574085.1-RS_2024_12_11	2874609		Contig	2018-09-18	QWKZ01	23243			Illumina MiSeq	Biocant	PRJNA487720	SAMN09908312	3097	2903	137.0	assembly from type material	Meiothermus	95.17	2.66	Bacteria	Thermotogati	Deinococcota	Deinococci	Thermales	Thermaceae	Meiothermus		
GCF_011319365.1	ASM1131936v1	Rhizobium flavescens	2607407	OK		GCF_011319365.1-RS_2024_12_09	209611	1.0	Scaffold	2020-03-16	WXZP01	23095	23095.0	13.0	Illumina HiSeq	Nanjing Agricultural University	PRJNA599588	SAMN13761670	228	216	9.0	assembly from type material	Rhizobium	0.49		Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Rhizobium		
GCF_030586805.1	ASM3058680v1	Candidatus Phytoplasma fabacearum	2982628	Inconclusive		GCF_030586805.1-RS_2024_03_31	568901		Scaffold	2023-08-02	JAOSIM01	22864	22864.0	51.0	Illumina HiSeq	Agriculture Victoria	PRJNA884151	SAMN31013020	506	460	15.0	assembly from type material	Candidatus Phytoplasma	82.66	0.23	Bacteria	Bacillati	Mycoplasmatota	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Candidatus Phytoplasma		
GCF_003013245.1	ASM301324v1	Neisseria iguanae	90242	OK		GCF_003013245.1-RS_2024_05_03	2610244		Scaffold	2018-03-21	PXYY01	22754	22754.0	200.0	Illumina HiSeq	China disease prevention and control center	PRJNA438580	SAMN08721881	2831	2381	392.0	assembly from type material	Neisseria	96.62	1.52	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria		
GCF_018332475.1	ASM1833247v1	Bacillus sanguinis	2817476	Inconclusive		GCF_018332475.1-RS_2024_08_02	5479511		Contig	2021-03-14	BOQB01	22700			Illumina MiSeq	Department of Microbiology, Juntendo University School of Medicine	PRJDB11373	SAMD00286805	5883	5487	284.0	assembly from type material	Bacillus	99.41	0.3	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus		
GCF_004353985.1	ASM435398v1	Paracraurococcus ruber	77675	OK		GCF_004353985.1-RS_2024_12_16	7169105		Contig	2019-03-17	SMOA01	22677			Illumina HiSeq	Shandong University at Weihai	PRJNA522633	SAMN11097667	6700	6453	189.0	assembly from type material	Acetobacteraceae	99.43	2.11	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Roseomonadaceae	Paracraurococcus		
GCF_024159025.1	ASM2415902v1	Limimaricola litoreus	2955316	OK		GCF_024159025.1-RS_2024_08_14	3825019		Contig	2022-07-05	JAMYXC01	22584			Illumina HiSeq	Shangqiu Normal University	PRJNA852392	SAMN29328589	3938	3702	180.0	assembly from type material	Rhodobacteraceae	99.17	0.15	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Limimaricola		
GCF_002154385.1	ASM215438v1	Streptomyces albovinaceus	66867	OK		GCF_002154385.1-RS_2024_04_22	7237318		Scaffold	2017-05-22	MUAX01	22344	23195.0	594.0	Illumina MiSeq	USDA/ARS/NCAUR	PRJNA293375	SAMN06276569	6910	6413	426.0	assembly from type material	Streptomyces	95.76	0.13	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces		
